-81660.1, 16362.8, -7065.67
68733.4, 9845.43, -19097.4
-51976.4, -14810, 184376
189860, -247831, 79132.4
-32947.9, 14088.8, -27814.5
-251714, -21119.7, 105328
-276361, -55001.5, 62295.2
133225, -88031.7, -209087
60547.3, 17125.8, -189200
76378.3, -51887.8, 126137
-205830, -2740.12, -240399
-2535.15, 203167, -93377.2
-69610.2, -41439.5, -181614
-56262, -132051, 87496.1
63442.2, 47939.5, 34852.4
123918, -191148, -84175.8
49039.6, 245193, 271664
-2414.67, -88615.8, 49324
-154352, 10876.9, 48383.4
72247.5, -46610, 141319
-111968, 78952.8, -180040
-214468, 222704, 44868.4
-63901.2, -23823.1, -304472
-160640, 12484.8, 6819.52
235570, 186217, 17752.8
-78864.7, 82696.6, 91498.3
156703, 69614, 267213
-83611.9, -33242.7, 43283.1
-48949.7, -181201, 26802.8
-256806, -105102, 11059
-12134.6, -20670.3, -84350
-206295, 35866.9, -102076
-127812, 69772, 18961.9
-38641.8, -46749.5, 14408.3
-33611.6, 72398.9, -34486.4
51529, 107802, 107057
-104861, -128402, 45672.7
-154419, -7776.82, 277565
-72257.8, 92095.9, -34154.8
-9977.36, -3000.88, 44853.2
-15721.1, 121185, -44613.8
-51884.3, 127975, 10255.6
53482.6, -87935.3, 56979.6
-97519.9, 186289, 65854.3
171887, -127818, -252887
129746, -399024, -178114
-188385, -332321, -137433
-121711, 159408, -47707.3
-12915.8, 26827.5, -154124
-245148, -168512, -78764.1
82486.3, -18634.7, 440956
-5314.62, -44709.6, 153998
-100541, 194728, -92187.6
282878, 14020.7, -80000.9
224021, -137762, -198380
-108066, -91786.7, 1468.93
-144231, -91465.4, 53814.5
219635, -117635, 111621
-139173, -1735.16, 153986
197801, -72161.2, -117182
68496.6, -15053.2, -89597.2
-225444, 31610.3, -126874
41539.4, 53182.6, -108708
35321.8, -112994, 21030.4
61697.7, 86554.5, -149014
-107064, 77219.8, 129447
248487, 201710, -60279.6
-183733, 15974.4, 161965
-48706.1, -149180, -135514
451.515, -48510.1, -5025.25
-12207.9, 123099, 192461
-189142, -98767.9, 91477.4
169200, 24235.2, 44279.5
258844, -152529, 71117.1
7526.48, -58440.8, 35115.8
-125128, 228806, 24609.1
104931, -255664, -143930
194256, 150476, 297883
-159278, 67401.1, 227781
-152757, -167886, 89707.3
100519, -243043, -280535
-77108.3, -119668, 56389.1
28691.9, 208853, -206705
-36119.2, -23068.3, 45669
77860, 197441, 8696.26
200469, -61218.2, -50377.3
-96729.9, -57214.5, 4679.26
-33022.7, 340225, -260077
-215561, 74918.6, -9833.28
104494, -106144, -18881.5
29817, 146851, 8275.19
-6479.26, -184228, 61665.3
223002, 26612.5, -40402
-41845.8, -45093.5, -100231
128907, -147908, 78571.5
-197955, -14454.3, 308891
-13455, -131819, 41377.6
-8979.5, 3013.93, 5990.48
123656, 9035.81, -85417.2
37426.3, 95626.8, 5609.11
-93967.8, -202421, -107824
50194.8, 190474, 42698.5
71121.3, -57068.3, 55509
-138578, -342541, -128261
169187, -40370.9, 139216
157742, 124390, -273210
41454.3, -2345.05, 52347.9
-117984, -89536.8, -76647.2
-41268.2, 147894, 177637
-133891, -208894, -312300
77665.1, -110899, -77174.5
12854.1, 45599.9, -137204
-119548, 66908.3, -32195.9
-17571.7, -139193, 1883.26
-141518, -248794, 130741
-76735.8, 114730, 88784.7
-205042, -26235.8, 209630
-259820, -166543, -267216
-73983.9, 120234, 146601
19994.7, 55660.8, -101527
62562.2, 405091, 189716
100885, -14435.7, 21440.2
8923.28, 290909, 87085.7
-96125.9, -134591, 116970
108481, -88331.2, 37655.1
-99929, 194714, 78240.7
34883.3, 103300, -197340
165351, 130680, -182868
15959.1, -119640, 116676
-337823, -28051.4, -262210
-103361, 158503, -64850.7
31777.8, -70389, -10399.7
48717.6, 196754, -74847.7
12940.8, 197230, -215570
153751, 112528, -49955.5
15744.5, -107194, -39899.5
56497.3, -78843.5, 80459.5
31639.6, 267821, -95188.5
22682.7, -38580.6, -79959.7
-169396, 145811, 138199
219342, 150245, -228853
168050, 163290, -13993
113911, -12388.8, 95789.4
20922.9, 34520, 108735
110437, 49387.2, 89840.5
-101419, 220720, -11629.3
-171866, -102241, 49799.6
174794, -232344, -130803
34250.9, 84079.6, -242654
-125335, -48360.1, -76287.8
45158.7, 174222, -213829
97525, -119020, 45496.1
-174643, 338874, 149480
-70444.8, 12988.8, -19226
29314, 3327.88, 151958
233335, -244192, 89419
86037.4, -151626, -161132
-264757, 86258.2, 42901.5
37359.4, -129597, -462166
277965, -197150, 172778
48264.5, 22656.2, -98938.6
110394, -23008.5, 184077
52476.6, 121983, -105696
49231.2, -35983.2, 169315
154661, -25225.5, 151223
-88040.2, -253079, -270893
-91121.5, 40649.4, 86924.8
27165.7, 169638, 225182
-79457.1, -244285, 37437
-9926.9, 279674, -344802
211807, 176367, -131470
178285, -102303, 202612
11845.6, -59270.7, 68846
126444, 88594.1, -131085
157655, 8304.63, 54069.3
-143604, -138036, 317569
210688, 78259.9, -166383
-128696, -148307, 225381
-35637.2, -93208.7, 15316.8
-177546, -95636.5, -90631.7
-116870, -43068.6, -104836
106518, 84044.9, -58317.8
128273, 74610, -22718.5
199777, -53067.5, 2603.47
-188905, -22679.3, 27701
181815, -30554, -25711.7
-8044.82, -87048.7, 213225
-130020, 337281, -120050
-30125.8, -1607.58, 79681
-72320.7, 113465, 288282
109242, -91031.4, -183194
-15145.4, -115274, -259805
896.489, 134299, -3014.73
-106727, -70540.9, 96003
-28562.5, 30017.9, 131.007
-30840, 242056, 166817
-201906, 94801.9, -88817.7
53923.6, 97033.7, 57297.1
20996.4, -117080, -113663
90831.6, -67138.5, 667.983
-228563, -43347.2, 111003
154073, 12233.5, -39482.9
-69009.3, -60967.7, 29723.9
38985, -264068, 45861.3
-26997.1, -45951.9, -147763
-168743, -54358.8, -100707
-129417, -73246.1, 77393.9
144348, -195765, 113201
-66380.9, 19268.1, 64168
-205516, 113877, -93656.5
-285165, -13628, 92568.2
125401, 252541, -221529
180424, -73077.2, 348463
-85831.5, -12388.6, 93692.3
68461.8, 130478, 76218.8
-185700, 155728, 194481
-255808, 147309, 154181
25671.5, -28540, 63287.8
-16622.2, -77432.4, 43696.7
-71706, -19391.8, 51430.1
62223.4, -58261.3, 118147
-65624.8, -56823.5, -139047
-80953, -48915.9, -11490.7
142800, -91842.4, -305577
65069, 19941, 81435.3
-106827, 113117, 224646
253257, -110625, 144151
-228439, 147069, -31057.8
252418, 32539.2, 99691.3
-11057, 14673.5, 89019.3
-208287, -26942.4, 318519
15451, 53311.2, -43077.9
-137245, 80881.6, -19228.7
-140762, -49269.9, 289721
-28695.6, -137605, 29485.6
-6318.3, -121351, -107921
70037.7, -28214.8, -73908.1
202784, 91638.5, 151784
