12251.4, 271654, 150898
-29393.7, -22399.7, 11121.9
10741.6, -75988.5, 179690
-66124.7, 152338, 5133.74
-18716.8, 121537, -64252
72659.4, 131537, -35316.4
-11773.3, -143735, 8555.09
72320.8, 99102.9, -141375
-67549.1, 100064, 15146.3
-63753.2, -251505, 80469.2
-191578, 168714, -108103
27682.1, 104564, -49622
-40124.8, 175884, -31494.3
41103.7, 193636, -127722
-82255.3, 89777.6, -80976.2
47792.6, 95630.4, -116534
91749.1, -337192, 113327
4979.42, 223063, 105846
59815.8, 261947, -61284.1
41314.1, -219488, 53758.9
76374.3, 148525, -133959
-90000.5, -87286.9, 155745
49671.9, -142740, 40879.7
-19257.6, 49200.8, -103404
746.738, -235551, -62439.7
-157329, 235717, 8146.54
79678.5, -83396.4, 40279.8
21164.6, 150222, -154998
40309, 317839, -90631.7
99697.4, -79267.1, 18180.8
128215, -163481, -50870.3
32172.4, -120396, 36216.9
98399, 115812, -160591
-51840.2, -63110.4, 145282
66358, 75163.2, -109383
103259, -107546, 92997.9
106799, 363894, -221405
119903, -101253, 48829.6
60781.4, -264233, 3688.81
31669.6, 74320.3, -173612
-6037.25, 168088, -160643
88586.4, 115791, -171153
46093.2, 50043.1, -53846.2
9356.8, 105262, -268172
16075.4, 205154, -82590
-116502, -90139.7, 46372.3
86093.6, 118423, -167566
86811.3, 123549, -82082.2
-36683.3, 110730, -94711.1
8795.78, -120122, 148940
38634.8, 106070, 41415.2
139917, -282555, 354487
-119013, -105110, 24592.8
-115680, -100959, 12121.7
126471, 110454, -56688.2
74696.8, -57460.1, 31246.6
-33665.9, 187667, -276798
-87036.4, 125569, 42639.6
21892, -237637, 123038
49777.2, 218830, -144732
-161565, 136144, -24224.8
-97378.9, 154630, 27383.1
-195004, 247074, 12016.7
67046.9, -373003, 150964
284240, -308093, 144648
-149731, 187295, -141466
-232173, -174103, 305213
173658, 238925, -9359.74
128785, -141145, 20944.7
10508.5, -36909.2, -7301.11
-73232.2, -256756, -41580.5
-136111, -183785, -24181
-22323.3, 290021, 125655
-66300.8, 78339.6, -7511.12
201762, -333799, -78142.2
32294.2, -106175, -9264.29
18895.6, -290379, 31217.3
-100800, 93747.4, -163019
-57349.4, 106676, 55898.2
-130177, -383116, -188192
-59820.1, -253776, -99326.5
93360, 67533.1, -66477.8
39171.5, -95562.1, -26167.4
-7227.37, -58083.7, 12700.5
80951.7, -351721, -104291
-109872, 222560, -145607
-26627.9, -208484, -45814.8
4690.82, 51985.2, -46753.1
135242, -288052, 62414.4
-52321.1, -50830.7, 47191.5
-127722, -252820, -76984.8
130645, 116135, -54821
59131.3, 112053, 64289.8
18738, 150969, -15233.9
-153544, -153708, -26026.3
4374.75, 62997.5, 29681
-38777.6, 70873.1, -17262.7
-15763.2, 73614.8, -13753.7
-2800.39, -69770, -37176.3
-85473.9, 234139, 75825.6
210800, -244315, -94815.5
-92927.2, 87397.1, 6877.26
-106615, 258997, 4874.61
17693.4, 84477.4, -96648.7
-49864.6, -121804, -12631.6
-16265, 80389.2, -62706.8
-71245.5, -232396, -95438.7
-2114.1, 52985.5, -61566.2
16727.9, -146928, -99372.6
4729.4, 148557, -138631
7432.56, 66060.7, -104374
-15929.6, -170162, 155917
69219.4, -108059, 199937
-5546.35, 226904, -78459.6
31482.4, -150604, -65681.6
-122786, 227307, 11332.4
41672.7, -274985, 93925.2
-64634.2, -110478, 77075.9
-179458, 278294, 41862.7
-128787, -110790, 159972
28936.9, -134539, 270031
-29191.5, 123511, -43862
84801, 124322, -266269
-100521, -121512, -9167.46
-12762.6, 265413, -43782.6
-45017.4, 187496, 29447.9
162174, 297989, -127378
-29192.8, -78914.8, -30281.4
-2537.54, 155429, -287325
-168513, 144963, -48728.4
-48761.2, 170367, 33178.4
13047, 20911.1, -27129.3
-45196.3, -110586, 5584.66
-50837.1, 88864.6, -13.2944
61477.6, 149386, -150357
-57638.9, -182498, 88492.7
-190593, -212189, 56803.9
-4707.76, 88089.3, -17264.4
155820, 162912, -256410
-64717.2, 178184, -84799.4
96916.9, 163067, -359178
70381.6, 129177, -101271
69739.2, 202426, 103065
-153774, -207087, -91079.8
201555, 286179, -165277
11611.9, -383195, 183298
30668.9, -76686.6, -47977.1
-135908, -189963, 126266
5598.14, 110841, -193494
-58068, 217668, -52953.5
-255012, 202580, -66083.8
95089.7, 155503, 84909.7
36594.6, 129516, 47455.2
178116, 161121, -155264
-29940.6, -299857, 50604.5
-69894.3, 202944, -16591.3
66599.3, 167328, -17594
83074, -154552, 146977
-17748.1, 71739.7, -5392.88
150558, 335144, -62680.5
-47953.4, 267136, -79967.9
58240.1, 190179, -76645.7
41864.6, -117790, 15614
-13357.9, -73971.7, -7103
-109136, 141389, 52261.7
104964, 175732, 39332.3
162787, -430590, 120985
1424.63, -160080, -93242.4
-254382, 172587, -213151
189785, 197704, 17412.2
47399.6, 64065, 31941.4
30786.3, 107413, 67369.9
-74753.9, -159724, -68196
62252.8, -173499, 173082
-7513.49, 138891, 74227.4
115776, 181082, 56128.7
-70589.8, -159975, -89344.8
-46775.5, -218302, -98789.4
-105731, -71643, 48554
42767.5, -67334.5, 66716.1
-153838, -248917, 105040
-1306.09, 18171.2, -16541.5
6210.06, -129248, -89579.7
7286.31, 165576, 28729.3
-44287.8, -262513, 180679
4894.63, -193853, -54796.7
58456.3, -207745, 80689.8
-109227, 83819.9, -35264.9
199692, -241582, 243196
8161.73, -142013, 11063.4
92827.6, 115164, -181475
80607.2, -286702, 38515
148826, -183518, 118457
59079.5, -191320, -4549.76
161967, 169879, -95924.8
-29822.6, 165374, -128766
-57733.3, -82090.6, -6850.67
-58672.9, 64312.5, -91174.4
122910, -167531, -7470.81
48997.9, 188827, -144478
67830.8, 254782, -72267.1
98352.4, -149754, 70689.2
-163467, -158379, 161275
51968.2, -174153, 304913
60519.5, 298932, 62348.2
-15790.3, 54566.1, 9954.75
-187755, 150790, -285055
-54179.3, -62074.1, 59369.4
-50573.8, 138838, 20684.1
-22731.2, 198542, 50456.9
-5379.78, -265148, -75196.1
-15259.4, -153167, -28551.9
177506, 196178, -12331.2
99477.7, -253098, -64894.4
25160.7, 60753.5, -15965.3
-133441, -178466, 59536.3
-87895.7, 163377, 45847.9
-50109.6, 211023, 62726.4
108883, 259560, -59101.5
-58195.8, 278962, 24663.7
25469.7, 128604, 40795.3
43942.7, 104719, 12500.9
87764.5, -126635, 144973
-763.857, -73651.2, 8864.88
-7269.95, 79315.3, -67274.9
-153238, 367155, -106080
23155.9, 174628, 50690.6
244087, -267931, 150173
55891.7, 194482, -331388
79867.2, 183625, -10858.5
-53020.3, 79833.2, -25625
-73372.2, 228649, 5202.88
53759.5, -234089, 121063
6520.6, -222549, -27463.5
-76954.2, -74456.3, 11681.5
-132372, -448128, -64770.9
-98374.5, -289807, -59548.9
190580, 181435, -100994
-55340.9, 244361, 27735.1
2814.96, 36248.2, -2600.01
-13414.9, 106495, 50559.2
-76787.8, -188534, 107333
71365, 215217, 104983
239161, 288358, -106198
118131, 136685, -228603
698.077, -230197, -84125
70134, 159902, -147959
-33402.5, 209939, -358533
-2145.71, 134188, -99413.5
80260.3, -107482, 116438
-95994.8, -93828.3, 131960
-111181, 124025, -67973
-158892, 137364, -39374.4
-84703.6, 80122.1, -106695
-122422, -233039, 87047.5
61970.4, 144839, -117265
-109411, -226039, -17868
63824.6, -228077, -63995.9
-51115.9, -188406, -101739
157299, 188845, 21701.6
112361, -105379, 115912
-27478, -107471, 188396
9832.8, -159318, 63008.8
-173137, -231306, 67594.7
-43009.5, -41272.9, 44753.6
50707.6, -117633, 180266
-330711, -323083, -164866
90122.4, 320530, 73858.2
134265, -129086, 70444.9
89209.1, 203319, -58454
-25847.9, 334783, 56523.1
-105888, 118336, -98840.6
320102, 253482, -35006.8
185635, 140532, -27424.4
197395, -174054, 235098
-277830, 273467, -23051.7
31304.7, -99259.3, -45951.1
66584.7, -127722, 66584.7
-89639.2, -95742.6, 32867
-48280.1, 281088, -149069
-122955, -203794, -67840.4
-58627.8, -262961, -69491.5
208206, -257501, 153645
-63679.6, 224814, -221407
-180860, 180675, 6505.77
-27011.7, 89266.3, -123018
113559, 213963, -97531
-76020.4, 240349, -80835
86549.6, -104700, 56475.7
-192736, 296074, -87788.9
212484, -192656, 321891
121398, -96380.9, 42957.3
31632.1, -264314, 66711
21212.1, -313105, -2509.27
18740.1, -126885, 157922
-212912, 334192, -122094
94631.8, 99831, -154647
-75571.5, 85652.5, -69965.3
-66258.7, -132262, 96942.2
-16228, -122474, 169616
-255582, -341467, -86669.9
17952, 106737, 55700
-2485.31, 66412.3, -45433.5
-184093, -203924, 148322
68958.2, -55929.7, 36093.5
32401.7, 71458.1, -37790.9
-48221.6, 198294, -12038.6
-73674.6, -175498, -40508
4721.49, -146854, 176108
-29462.2, 85748.9, 15902.4
-31846.2, -153894, -67792.9
-75100.2, -228750, -46701.9
113156, 211487, 58976.5
195563, 135697, -118329
-3090.96, -186145, 400290
-65718.5, 79643.2, 5318.66
-58654.1, 108570, 55116
56297, -210158, 19281.9
118717, 185797, -88960.4
54587.7, -378094, -65078.2
247853, 203974, -9086.36
8020.67, -208457, 76937.9
44083, 299058, -86173.9
184445, 258183, 55230
-140736, -148869, 51432.5
99723.2, 183328, -95065.8
3564.58, 273275, 106921
19733.2, 120036, -136568
-268899, 328306, 23872.6
-36695.2, 160817, -348986
52568.4, 213638, 149770
-279263, 307357, -250348
-67096.2, -126387, -2250
-50763, -54304.4, -1285.24
20654.7, -47341.7, -3834.15
64655.4, -165428, 92290.4
181827, -150410, 28843.9
-127722, -252820, 9639.56
-82316.8, -153775, 60123.7
5634.27, -108105, 164442
-48114, 72489.4, -121529
-80734.3, 177077, -209712
-157433, -225568, -23142.1
-104287, 201579, -127253
-133819, -157024, 16067.2
93801.4, 312055, -34845.9
29334.9, 89769.7, -26061.8
182844, -190732, 34734.5
-16638.2, 218936, -57712.4
