mult spec current
0.000000e+00 1 1.688376e+10
0.000000e+00 0 3.346376e+08
1.000000e-01 1 1.324593e+10
1.000000e-01 0 4.677389e+08
2.500000e-01 1 9.387794e+09
2.500000e-01 0 7.118763e+08
5.000000e-01 1 5.724949e+09
5.000000e-01 0 1.189807e+09
7.500000e-01 1 3.469801e+09
7.500000e-01 0 1.663992e+09
1.000000e+00 1 2.031390e+09
1.000000e+00 0 2.137492e+09
