mult spec current
0.000000e+00 1 1.684190e+10
0.000000e+00 0 1.727014e+08
1.000000e-01 1 1.386052e+10
1.000000e-01 0 4.451072e+08
2.500000e-01 1 1.039022e+10
2.500000e-01 0 9.266748e+08
5.000000e-01 1 6.739435e+09
5.000000e-01 0 1.688030e+09
7.500000e-01 1 4.272554e+09
7.500000e-01 0 2.297879e+09
1.000000e+00 1 2.872989e+09
1.000000e+00 0 2.828945e+09
