58.835 -2.004 6.0952
57.925 -2.013 5.4288
56.984 -2.022 4.9138
55.88 -2.03 4.5618
54.848 -2.044 4.1961
53.86 -2.05 3.8636
52.761 -2.064 3.63
51.732 -2.075 3.3794
50.615 -2.086 3.1772
49.543 -2.097 2.9854
48.335 -2.109 2.8776
47.241 -2.120 2.7024
45.981 -2.132 2.5815
48.937 -2.103 1.9175
47.704 -2.115 1.8582
46.513 -2.127 1.7741
45.398 -2.138 1.704
44.234 -2.150 1.6237
43.172 -2.160 1.5457
41.867 -2.173 1.4909
40.544 -2.187 1.4365
39.323 -2.199 1.3827
37.961 -2.212 1.3292
36.558 -2.226 1.2855
35.133 -2.241 1.2418
33.684 -2.255 1.198
